Gripp containers export - 2026-09-19T10:52:29.828Z
Alle fasen, exclusief archief en archief-containers
ID | Nummer | Naam
417 | 25071 | R4WO
418 | 25072 | Res. Salt - Troonstraat 10 Oostende
419 | 25073 | REO Roeselaere
428 | 25082 | MG PARC ROELERS - Holtes vloerplaat
430 | 25084 | Joenshoek Kruisem
438 | 25092 | Overstortbak + Wateruitlaat D3
443 | 25097 | FLEXITALLIC BENELUX
445 | 25099 | Gerechtsexpertise Pot- en Zuidhoutstraat 10, 9990 Maldegem
447 | 25101 | Basisschool Het Groene Lilare
455 | 25109 | Parking Schouwburg Kortrijk
457 | 25111 | VME Charles de Kerchove
465 | 25119 | KCD - D4 - WAB/SITE
466 | 25120 | Analyse Betonnen bufferbekkens site MTD
475 | 25129 | Stalton plafond halfopen woning
476 | 25130 | SBSO 't Vurstjen
480 | 25133 | Site ArcelorMittal - Koeltoren HOA + HOB
481 | 25134 | Paalfunderingen Agristo Escaudoeuvres
487 | 25140 | Oud WPC Eeklo
488 | 25141 | Milcobel Moorslede
491 | 25143 | Tunnelrenovatie Metro Antwerpen, Fase 1: Linkeroever - Driehoek
496 | 25148 | Pijlstraat
499 | 25151 | D0 - Drone-inspecties gevels
508 | 25160 | Staalvezelgehalte - Vloerplaat Loeters
514 | 25166 | Allimex magazijnvloer
516 | 25168 | Viaduct Vilvoorde monitoring
519 | 25171 | Delaminatie Pré-Muren - Ineos Project One
522 | 25174 | Magazijnvloer Edibo
532 | 25184 | Parking Bilzen
541 | 25193 | Brandschade Van Heede Dottenijs
542 | 25194 | Zwembad De Kouter Poperinge
543 | 25195 | Werfopvolging Eurosilo
544 | 25196 | MANUTTI INVEST/GPL BV - Schade aan gevel
545 | 25197 | Werf STOLAA - Buitenkolommen
547 | 26001 | INTERN 2026
548 | 26002 | Business development
549 | 26003 | HR
553 | 26007 | Rodenhuize Koeltoren
554 | 26008 | Magazijngebouwen - KBC Real Estate Milmort
556 | 26010 | Sales
562 | 26016 | Vloot-Oostende
563 | 26017 | RB De Brabander
567 | 26021 | BAC Parking P24/25
572 | 26026 | Drabstraat
573 | 26027 | Vloer Samsonite
579 | 26033 | Tankpark - Solventtanks - Brenntag Deerlijk
586 | 26040 | KCD LTO 2026 - Overkoepelend / Voorbereiding
588 | 26042 | KCD - Lozingsconstructies
596 | 26050 | Residentie Wagner Gent
599 | 26053 | Het Witte Paard
602 | 26056 | Resistiviteit testen op mortels
610 | 26064 | Peter Vercammen - Waterschade huis en vraag of het betonrot is
611 | 26065 | Betonverharding KGT Trading Ninove
613 | 26067 | Appartementsgebouw Baron De Vironlaan - STAARC
615 | 26069 | Lissabon Aalter
616 | 26070 | Abdijkerk Vlierbeek
620 | 26073 | Res. Pur Sang
622 | 26074 | A-inspecties BAC
623 | 26075 | Gedimat De Groote
625 | 26077 | HoGent - Campus Schoonmeersen - Gebouw C
626 | 26078 | Norbertus - Gevelonderzoek
629 | 26081 | Janssen Pharmaceutica - Vijzelgemaal B-trap ST04-PP03
630 | 26082 | Janssen Pharmaceutica - Egalisatiebekken EQ02
639 | 26091 | KWS-installaties site BAC
640 | 26092 | Appartementen Bredene Woonsprong
642 | 26094 | Opleidingen, studiedagen, workshops - 2026
643 | 26095 | Zwembad Beerse
652 | 26104 | JVG Deurne - Prefabkolommen
655 | 26107 | Komvest Brugge
656 | 26108 | Plantentuin Meise
660 | 26112 | Funderingsmassieven Reims Altez
663 | 26115 | Res. Cabedelo - Conditiebepaling balkons Gent
664 | 26116 | Peter Benoitpark - Sint-Niklaas
665 | 26117 | HK plant betonplaat - Evonik
666 | 26118 | Residenties Ambassador, Royal Navy & Balmoral - Middelkerke
669 | 26121 | Cederlaan 6, Wilrijk- daktuin en fundering
674 | 26126 | PLW970 IRX Olen
675 | 26127 | Kolommen Lutosa Waregem
676 | 26128 | Belvédèreweg 2 - Appartement nr. 67 - Thuispunt Gent
679 | 26131 | Voormalige Stuivenbergziekenhuis-site
683 | 26135 | Proxani Kortrijk
685 | 26137 | Dochterfirma's Sanacon
688 | 26140 | VME res. Eugene Van Marcke
692 | 26144 | Frasnes - Magalie Bernard
695 | 26147 | Betonnen elementen langs tramlijn Luik
700 | 26152 | Scheurvorming Woning
705 | 26157 | P. Vandammesluis Zeebrugge
709 | 26161 | Sporthal Pionier Wervik
711 | 26163 | Oud Oefenplein
715 | 26167 | Elia Rechterover Gent
718 | 26170 | Meubar Vloerplaat Stoftoren
720 | 26172 | Clarebout (Simplot) Moeskroen
736 | 26188 | Busstelplaats Marly Neder-Over-Heembeek
738 | 26190 | ENGIE Vilvoorde Batterijpark

TOTAAL CONTAINERS: 228
